date,region,Sales
2018-02-06,east,1731
2018-02-06,north,1638
2018-02-06,south,1647
2018-02-06,west,1557
2018-02-07,east,1542
2018-02-07,north,1587
2018-02-07,south,1698
2018-02-07,west,1635
2018-02-08,east,1503
2018-02-08,north,1602
2018-02-08,south,1536
2018-02-08,west,1701
2018-02-09,east,1782
2018-02-09,north,1758
2018-02-09,south,1662
2018-02-09,west,1515
2018-02-10,east,1650
2018-02-10,north,1662
2018-02-10,south,1557
2018-02-10,west,1674
2018-02-11,east,1563
2018-02-11,north,1554
2018-02-11,south,1587
2018-02-11,west,1764
2018-02-12,east,1569
2018-02-12,north,1758
2018-02-12,south,1608
2018-02-12,west,1653
2018-02-13,east,1773
2018-02-13,north,1572
2018-02-13,south,1716
2018-02-13,west,1725
2018-02-14,east,1698
2018-02-14,north,1767
2018-02-14,south,1710
2018-02-14,west,1512
2018-02-15,east,1524
2018-02-15,north,1746
2018-02-15,south,1734
2018-02-15,west,1614
2018-02-16,east,1527
2018-02-16,north,1578
2018-02-16,south,1782
2018-02-16,west,1752
2018-02-17,east,1641
2018-02-17,north,1785
2018-02-17,south,1689
2018-02-17,west,1575
2018-02-18,east,1551
2018-02-18,north,1644
2018-02-18,south,1674
2018-02-18,west,1737
2018-02-19,east,1605
2018-02-19,north,1563
2018-02-19,south,1647
2018-02-19,west,1539
2018-02-20,east,1500
2018-02-20,north,1698
2018-02-20,south,1575
2018-02-20,west,1551
2018-02-21,east,1665
2018-02-21,north,1737
2018-02-21,south,1542
2018-02-21,west,1548
2018-02-22,east,1668
2018-02-22,north,1635
2018-02-22,south,1632
2018-02-22,west,1764
2018-02-23,east,1641
2018-02-23,north,1533
2018-02-23,south,1563
2018-02-23,west,1773
2018-02-24,east,1725
2018-02-24,north,1629
2018-02-24,south,1698
2018-02-24,west,1722
2018-02-25,east,1635
2018-02-25,north,1596
2018-02-25,south,1710
2018-02-25,west,1659
2018-02-26,east,1524
2018-02-26,north,1686
2018-02-26,south,1533
2018-02-26,west,1530
2018-02-27,east,1578
2018-02-27,north,1665
2018-02-27,south,1695
2018-02-27,west,1620
2018-02-28,east,1743
2018-02-28,north,1767
2018-02-28,south,1593
2018-02-28,west,1557
2018-03-01,east,1527
2018-03-01,north,1668
2018-03-01,south,1782
2018-03-01,west,1668
2018-03-02,east,1746
2018-03-02,north,1635
2018-03-02,south,1569
2018-03-02,west,1773
2018-03-03,east,1569
2018-03-03,north,1539
2018-03-03,south,1500
2018-03-03,west,1557
2018-03-04,east,1614
2018-03-04,north,1773
2018-03-04,south,1644
2018-03-04,west,1674
2018-03-05,east,1557
2018-03-05,north,1533
2018-03-05,south,1653
2018-03-05,west,1746
2018-03-06,east,1659
2018-03-06,north,1719
2018-03-06,south,1719
2018-03-06,west,1800
2018-03-07,east,1608
2018-03-07,north,1581
2018-03-07,south,1602
2018-03-07,west,1650
2018-03-08,east,1698
2018-03-08,north,1611
2018-03-08,south,1530
